name,username,license,tags,freesound_id,path
e.wav,marcgascon7,http://creativecommons.org/publicdomain/zero/1.0/,"['catalan', 'e', 'male', 'speech', 'vowel']",87773,../data/raw/87773_1425687-hq.ogg
e.wav,david0432,http://creativecommons.org/publicdomain/zero/1.0/,"['catalan', 'e', 'vowel']",87956,../data/raw/87956_1126187-hq.ogg
SquareTones-1.wav,gmortizwavs,http://creativecommons.org/publicdomain/zero/1.0/,"['techno', 'sound', 'square', 'bass', 'glitch-hop', 'dance', 'trance', 'drop', 'effect', 'bounce', 'club', 'experiment', 'minimal', 'tones', 'synth', 'beat', 'electro', 'electronic', 'house', 'loop']",636285,../data/raw/636285_6603437-hq.ogg
RoboChoir.wav,johnnypanic,https://creativecommons.org/licenses/by/4.0/,"['ambient', 'choir', 'chorus', 'drone', 'droning', 'robot', 'sci-fi', 'voice']",21620,../data/raw/21620_24119-hq.ogg
a_LowQ.wav,pholonow,http://creativecommons.org/licenses/sampling+/1.0/,"['a', 'vowel']",47289,../data/raw/47289_539414-hq.ogg
u.wav,pholonow,http://creativecommons.org/licenses/sampling+/1.0/,"['u', 'vowel']",47294,../data/raw/47294_539414-hq.ogg
u_LowQ.wav,pholonow,http://creativecommons.org/licenses/sampling+/1.0/,"['u', 'vowel']",47295,../data/raw/47295_539414-hq.ogg
a.wav,pholonow,http://creativecommons.org/licenses/sampling+/1.0/,"['a', 'vowel']",47288,../data/raw/47288_539414-hq.ogg
Object materializing,krzysiunet,https://creativecommons.org/licenses/by/4.0/,"['teleport', 'sci-fi', 'ufo', 'bonus', 'abstract', 'space', 'game']",345837,../data/raw/345837_4492939-hq.ogg
i.wav,kndjkd,http://creativecommons.org/licenses/sampling+/1.0/,"['catalan', 'closed', 'female', 'front', 'vowel']",87749,../data/raw/87749_1425647-hq.ogg
e.wav,david-upf,http://creativecommons.org/licenses/sampling+/1.0/,"['boy', 'catalan', 'e', 'speech', 'vowel']",88006,../data/raw/88006_1272950-hq.ogg
Crunchy Vowel 4.wav,officialfourge,https://creativecommons.org/licenses/by/4.0/,"['Crunch', 'Neuro', 'Bass', 'Fourge', 'Vocoder', 'Vowel']",260965,../data/raw/260965_4101204-hq.ogg
"Zisa, Attack, Scream, Vowel, High Pitched_1.wav",hisoul,http://creativecommons.org/publicdomain/zero/1.0/,"['woman', 'vocal', 'shout', 'female', 'girl', 'voice', 'scream']",520281,../data/raw/520281_1929421-hq.ogg
